rank,segment,wall_start,wall_end,duration_s,mean_sim,peak_sim
1,8,15:45:14.87,15:45:21.87,7.0,0.9981,0.9995
2,5,15:43:07.57,15:43:13.37,5.8,0.9461,0.99
3,1,15:40:41.35,15:40:46.55,5.2,0.9748,0.9995
4,8,15:45:50.77,15:45:55.97,5.2,0.9448,0.9996
5,8,15:45:04.07,15:45:09.07,5.0,0.9768,0.9983
6,8,15:46:10.67,15:46:14.97,4.3,0.9987,0.9998
7,7,15:44:30.15,15:44:33.75,3.6,0.9731,0.9948
8,8,15:45:47.07,15:45:50.67,3.6,0.9886,0.9996
9,8,15:45:59.17,15:46:02.47,3.3,0.8652,0.9114
10,1,15:41:07.45,15:41:10.65,3.2,0.8971,0.9536
11,1,15:40:53.45,15:40:56.35,2.9,0.9591,0.9911
12,7,15:44:45.15,15:44:48.05,2.9,0.9797,0.9931
13,8,15:45:25.17,15:45:28.07,2.9,0.9918,0.9995
14,7,15:44:03.85,15:44:06.65,2.8,0.9411,0.991
15,7,15:44:39.55,15:44:42.25,2.7,0.9554,0.9888
16,8,15:45:30.77,15:45:33.37,2.6,0.9117,0.9686
17,1,15:40:56.45,15:40:58.85,2.4,0.9999,1.0
18,7,15:44:23.15,15:44:25.55,2.4,0.9335,0.97
19,7,15:44:08.45,15:44:10.85,2.4,0.9049,0.9751
20,7,15:44:01.85,15:44:04.15,2.3,0.9251,0.9549
21,1,15:41:05.95,15:41:08.25,2.3,0.9962,0.9998
22,1,15:40:29.25,15:40:31.45,2.2,0.8618,0.9239
23,8,15:45:12.47,15:45:14.67,2.2,0.925,0.9964
24,1,15:40:52.05,15:40:54.25,2.2,0.995,0.9995
25,8,15:46:15.07,15:46:17.17,2.1,0.872,0.9027
26,8,15:46:02.57,15:46:04.67,2.1,0.8428,0.8693
27,1,15:40:37.65,15:40:39.65,2.0,0.9599,0.9893
28,1,15:40:47.35,15:40:49.35,2.0,0.993,0.9966
29,1,15:41:09.85,15:41:11.85,2.0,0.9526,0.9811
30,7,15:45:02.05,15:45:04.05,2.0,0.9977,0.9994
31,8,15:46:04.07,15:46:06.07,2.0,0.935,0.9586
32,1,15:40:33.15,15:40:35.05,1.9,0.9844,0.9995
33,1,15:40:39.15,15:40:41.05,1.9,0.9942,0.9977
34,5,15:43:29.37,15:43:31.27,1.9,0.911,0.9566
35,8,15:45:23.17,15:45:25.07,1.9,0.969,0.9866
36,8,15:45:29.37,15:45:31.17,1.8,0.9548,0.9913
37,1,15:40:49.55,15:40:51.35,1.8,0.9628,0.9975
38,7,15:44:57.55,15:44:59.25,1.7,0.9641,0.9944
39,8,15:45:39.17,15:45:40.87,1.7,0.8759,0.909
40,7,15:44:59.35,15:45:01.05,1.7,0.9841,0.9981
41,8,15:45:34.87,15:45:36.47,1.6,0.8197,0.8456
42,8,15:45:40.17,15:45:41.77,1.6,0.8691,0.8961
43,5,15:43:20.47,15:43:22.07,1.6,0.9144,0.949
44,7,15:44:17.95,15:44:19.45,1.5,0.9207,0.9599
45,7,15:44:28.05,15:44:29.55,1.5,0.8639,0.9201
46,8,15:45:10.17,15:45:11.67,1.5,0.9179,0.9794
47,6,15:43:37.89,15:43:39.39,1.5,0.8476,0.8927
48,5,15:43:26.17,15:43:27.67,1.5,0.9227,0.9637
49,8,15:46:09.17,15:46:10.57,1.4,0.9809,0.99
50,7,15:43:50.45,15:43:51.85,1.4,0.8295,0.8643
51,1,15:40:14.05,15:40:15.45,1.4,0.9939,0.999
52,5,15:43:17.17,15:43:18.57,1.4,0.888,0.9431
53,1,15:40:34.25,15:40:35.55,1.3,0.9997,0.9998
54,7,15:44:52.05,15:44:53.35,1.3,0.8577,0.8944
55,8,15:46:07.67,15:46:08.97,1.3,0.857,0.8861
56,7,15:44:36.15,15:44:37.45,1.3,0.867,0.8936
57,8,15:45:38.47,15:45:39.77,1.3,0.8388,0.8824
58,5,15:42:55.07,15:42:56.37,1.3,0.8657,0.9038
59,7,15:43:46.25,15:43:47.55,1.3,0.8773,0.9011
60,7,15:43:47.75,15:43:49.05,1.3,0.861,0.8851
61,7,15:43:53.05,15:43:54.35,1.3,0.9024,0.933
62,1,15:40:12.55,15:40:13.85,1.3,0.947,0.9691
63,1,15:40:51.45,15:40:52.75,1.3,0.8622,0.9073
64,1,15:40:59.45,15:41:00.75,1.3,0.9999,1.0
65,7,15:44:06.15,15:44:07.45,1.3,0.889,0.9457
66,7,15:44:22.05,15:44:23.35,1.3,0.8402,0.8535
67,7,15:45:00.65,15:45:01.95,1.3,0.9034,0.9547
68,1,15:40:35.75,15:40:36.95,1.2,0.9565,0.9942
69,5,15:43:14.07,15:43:15.27,1.2,0.83,0.8467
70,7,15:44:57.15,15:44:58.35,1.2,0.8121,0.8251
71,8,15:45:55.67,15:45:56.87,1.2,0.8298,0.8503
72,5,15:43:17.87,15:43:19.07,1.2,0.8391,0.8554
73,7,15:43:47.35,15:43:48.55,1.2,0.8503,0.8694
74,7,15:44:19.85,15:44:20.95,1.1,0.8143,0.823
75,2,15:42:20.18,15:42:21.28,1.1,0.9788,0.9822
76,3,15:42:29.30,15:42:30.40,1.1,0.8534,0.8743
77,7,15:43:58.35,15:43:59.45,1.1,0.8287,0.8367
78,8,15:45:28.17,15:45:29.27,1.1,0.9983,0.9983
79,1,15:39:42.65,15:39:43.65,1.0,0.8836,0.8836
80,2,15:42:13.88,15:42:14.88,1.0,0.8118,0.8118
81,2,15:42:15.18,15:42:16.18,1.0,0.8903,0.8903
82,5,15:43:01.37,15:43:02.37,1.0,0.8236,0.8236
83,5,15:43:14.47,15:43:15.47,1.0,0.861,0.861
84,5,15:43:28.07,15:43:29.07,1.0,0.8163,0.8163
85,7,15:43:51.75,15:43:52.75,1.0,0.8159,0.8159
86,7,15:44:19.55,15:44:20.55,1.0,0.8316,0.8316
87,8,15:45:41.37,15:45:42.37,1.0,0.8192,0.8192
